Key,Type,Desc,English,Russian
"DVSurvival/a7ef55b3","Text","","Item catalogue is not loaded yet.","Каталог предметов ещё не загружен."
"DVSurvival/ab3a8a0a","Text","","off","выключен"
"DVSurvival/ac43dde6","Text","","The fall caused an injury.","Падение причинило травму."
"DVSurvival/ade81c0b","Text","","Up to +40% health over 20 s. LMB: 8 s preparation, then uses the whole kit. RMB/put away cancels preparation. Healing does not stack.","До +40% здоровья за 20 с. ЛКМ: подготовка 8 с, затем расход целиком. ПКМ/убрать — отмена подготовки. Лечение не складывается."
"DVSurvival/b2ba036b","Text","","Bars","Полосы"
"DVSurvival/b306e060","Text","","Requires Custom Item Mod 0.2.0 and Language Helper 1.2.1; Multiplayer is optional. Scan the tag, pay at the register and collect the item. Language follows the game.","Требуются Custom Item Mod 0.2.0 и Language Helper 1.2.1; Multiplayer необязателен. Отсканируйте ценник, оплатите покупку на кассе и заберите предмет. Язык следует языку игры."
"DVSurvival/bd7cbfe9","Text","","Food","Сытость"
"DVSurvival/c67b1b3b","Text","","Sleep restored your energy.","Сон восстановил силы."
"DVSurvival/c86132a2","Text","","Show condition warnings","Показывать предупреждения о состоянии"
"DVSurvival/c938af39","Text","","Ambient: ","Воздух: "
"DVSurvival/cb78af5b","Text","","Sleep deprivation","Недосып"
"DVSurvival/cc200e59","Text","","Unknown","Неизвестно"
"DVSurvival/ce333281","Text","","engine ","двигатель "
"DVSurvival/d21c162d","Text","","Exhaustion","Истощение"
"DVSurvival/d35ec4c9","Text","","open","открыты"
"DVSurvival/d43ff4c1","Text","","Coffee","Кофе"
"DVSurvival/d6344518","Text","","Survival system is still loading.","Система выживания ещё загружается."
"DVSurvival/d63556b0","Text","","Water","Вода"
"DVSurvival/d78fca9f","Text","","Player identity is already in use in this session.","ID игрока уже используется в этой сессии."
"DVSurvival/db5ce925","Text","","Food 100 to 0: ","Сытость от 100 до 0: "
"DVSurvival/de14b74b","Text","","Sleep deprivation is worsening. Severe exhaustion will begin soon.","Недосып усиливается. Скоро наступит сильное истощение."
"DVSurvival/def08cd2","Text","","Next coffee rest effectiveness: ","Эффективность следующего кофе для сна: "
"DVSurvival/df7b20f2","Text","","Cab heater switched on.","Отопитель кабины включён."
"DVSurvival/dfa212fc","Text","","Sets body to 37 °C; temporary cold protection. LMB: apply for 3 s, uses the whole pack. RMB/put away cancels.","Температура тела 37 °C и временная защита от холода. ЛКМ: применение 3 с, расход целиком. ПКМ/убрать — отмена."
"DVSurvival/e50c4045","Text",""," game h"," игровых ч."
"DVSurvival/e64beadb","Text","","Overheating","Перегрев"
"DVSurvival/e94b4dc2","Text","","Regular inventory is full. Legacy stock is safe.","Обычный инвентарь заполнен. Старые запасы сохранены."
"DVSurvival/ea79b173","Text","","Heater: on","Отопитель: включён"
"DVSurvival/eb1d9111","Text","","Could not add the item to inventory. Legacy stock is safe.","Не удалось поместить предмет в инвентарь. Старые запасы сохранены."
"DVSurvival/ebb3f53d","Text","","Sleep is accepted only near a bed.","Сон подтверждается только рядом с кроватью."
"DVSurvival/ebee50c5","Text","","closed","закрыты"
"DVSurvival/ec8bd85b","Text","","Update Multiplayer to the tested version.","Обновите Multiplayer до проверенной версии."
"DVSurvival/ef5f1270","Text","","Coffee: each use reduces the next rest gain by 10% of the original, down to zero. Any successful sleep restores effectiveness.","Кофе: каждое употребление уменьшает следующую прибавку сна на 10% от исходной, до нуля. Любой успешный сон восстанавливает эффективность."
"DVSurvival/f0574ec6","Text","","Needs rate: ","Скорость потребностей: "
"DVSurvival/f2802c8e","Text","","Up to +50% hydration; cools by 0.2 °C, no lower than 36 °C. Hold LMB to drink (3 s per bottle). Remainder is kept.","До +50% воды; охлаждает на 0,2 °C, не ниже 36 °C. Пейте, удерживая ЛКМ (3 с на бутылку). Остаток сохраняется."
"DVSurvival/f99fe02f","Text","","Sleep deprivation follows the world calendar from the last full native sleep: exhaustion begins after 48 game hours, and after 72 the speedometer reads 1.5 times lower. Each following day adds 0.5 to the divisor, up to 3. Coffee, a high rest value and short sleeps do not pause the clock; one native sleep of at least 8 hours resets it.","Недосып идёт по календарю мира с последнего полноценного штатного сна: через 48 игровых часов — истощение, через 72 — спидометр показывает скорость в 1,5 раза меньше. Каждые следующие сутки делитель растёт на 0,5, максимум до 3. Кофе, высокий показатель сна и короткие сны отсчёт не останавливают; сбрасывает его один штатный сон не короче 8 часов."
"DVSurvival/fa64d242","Text","","HUD style (applies immediately)","Вариант интерфейса (применяется сразу)"
"DVSurvival/ff9c4b57","Text","","You do not have this in your supplies.","В личном запасе этого нет."
